name,type,attrs

c0g000.medcommons.net,BMC Cluster Service (EC2/i-0b2f0863) <small><a target='_new'  href='http://c0g000.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/2862301' title='(rs/aws)'>(rs/aws)</a></small>
c0g001.medcommons.net,BMC Cluster Service (EC2/i-db2f08b3) <small><a target='_new'  href='http://c0g001.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/2862303' title='(rs/aws)'>(rs/aws)</a></small>

mantis.medcommons.net,Mantis/Test (EC2/i-74923f1d) <small><a target='_new'  href='http://mantis.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/543375' title='(rs/aws)'>(rs/aws)</a></small>
qatest.myhealthespace.com,QA Test (EC2/i-a56cabcc) <small><a target='_new'  href='http://qatest.myhealthespace.com/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/382175' title='(rs/aws)'>(rs/aws)</a></small>
ci.myhealthespace.com, Globals (EC2/i-23e6734a) <small><a target='_new'  href='http://ci.myhealthespace.com/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/946142' title='(rs/aws)'>(rs/aws)</a></small>

atmos.medcommons.net,EMC CIS/Atmos Beta Cloud Server

svn.medcommons.net,SVN (SCCS) Server (EC2/i-cd10c5a5) <small><a target='_new'  href='http://svn.medcommons.net/router/SelfTest.action' title='(test)'>(test)</a></small> <small><a target='_new' href='https://my.rightscale.com/clouds/1/ec2_instances/2038828' title='(rs/aws)'>(rs/aws)</a></small>

bam.myhealthespace.com,DISABLED
bop.myhealthespace.com,DISABLED
boom.myhealthespace.com,DISABLED
bif.myhealthespace.com,DISABLED
box.medcommons.net,DISABLED
healthurl.medcommons.net,DISABLED
hoover.wayforward.net,DISABLED
hot.medcommons.net,DISABLED
laforge.ehealthglobaltech.com,DISABLED
localhost.localdomain,DISABLED
oci.myhealthespace.com,DISABLED
osa-viewer-01.osa.demo,DISABLED
pantagruel.medcommons.net,DISABLED
tenth.medcommons.net,DISABLED
timc.medcommons.net,DISABLED
www.medcommons.net,DISABLED
dod.mgh.harvard.edu,DISABLED
atmos02.myhealthespace.com,DISABLED
atmos00.myhealthespace.com,DISABLED
zap.myhealthespace.com,DISABLED
zip.myhealthespace.com,DISABLED
